Components,Number of AMIs,Number of Services,Component 0,Component 1,Component 2
3,3,3,false,true,false
3,3,3,true,true,true
3,3,3,true,false,false
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,false,true,false
3,3,3,true,true,true
3,3,3,true,true,true
3,3,3,false,false,false
3,3,3,true,true,true
3,3,3,false,true,false
3,3,3,false,false,true
3,3,3,true,false,true
3,3,3,true,true,false
3,3,3,false,false,true
3,3,3,false,false,true
3,3,3,false,false,true
3,3,3,true,true,true
3,3,3,false,false,true
3,3,3,true,true,false
3,3,3,false,false,false
3,3,3,false,false,true
3,3,3,true,false,true
3,3,3,true,true,true
3,3,3,true,false,false
3,3,3,false,true,false
3,3,3,true,true,true
3,3,3,false,false,true
3,3,3,true,false,true
3,3,3,true,false,false
3,3,3,true,false,false
3,3,3,false,false,true
3,3,3,false,true,false
3,3,3,true,false,false
3,3,3,true,false,true
3,3,3,false,true,true
3,3,3,false,true,true
3,3,3,true,false,true
3,3,3,true,true,true
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,true,false,true
3,3,3,true,true,false
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,true,false,false
3,3,3,true,true,true
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,true,false,false
3,3,3,true,false,false
3,3,3,false,true,true
3,3,3,false,true,false
3,3,3,true,true,true
3,3,3,true,true,true
3,3,3,false,false,false
3,3,3,false,false,false
3,3,3,false,false,true
3,3,3,false,true,true
3,3,3,true,true,false
3,3,3,false,false,false
3,3,3,false,true,true
3,3,3,true,true,false
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,false,false,true
3,3,3,false,false,true
3,3,3,false,true,false
3,3,3,true,false,false
3,3,3,false,true,false
3,3,3,true,false,false
3,3,3,true,false,false
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,true,true,true
3,3,3,false,false,true
3,3,3,false,true,false
3,3,3,true,false,true
3,3,3,true,true,false
3,3,3,false,false,false
3,3,3,true,true,false
3,3,3,true,true,false
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,false,true,true
3,3,3,true,true,false
3,3,3,true,true,true
3,3,3,true,false,true
3,3,3,true,false,false
3,3,3,true,true,true
3,3,3,false,true,true
3,3,3,true,false,false
3,3,3,true,false,true
3,3,3,false,false,false
3,3,3,true,false,true
3,3,3,false,true,true
3,3,3,false,true,true
3,3,3,true,true,true
3,3,3,false,false,true
3,3,3,true,false,true
