Components,Number of AMIs,Number of Services,Formation Solutions Model Creation (ms),Formation Solutions Evaluation (ms),Total (ms)
2,1,1,4,2,12
2,1,2,1,1,10
2,1,3,1,2,11
2,1,4,2,20,30
2,1,5,3,9,27
2,2,1,1,1,8
2,2,2,2,4,18
2,2,3,3,5,14
2,2,4,7,5,21
2,2,5,16,8,33
2,3,1,1,2,9
2,3,2,4,16,36
2,3,3,13,9,29
2,3,4,18,11,33
2,3,5,53,34,105
2,4,1,1,3,12
2,4,2,9,6,21
2,4,3,24,9,36
2,4,4,14,15,33
2,4,5,46,24,77
2,5,1,1,12,19
2,5,2,5,12,96
2,5,3,34,17,105
2,5,4,107,36,162
2,5,5,101,88,199
3,1,1,2,0,11
3,1,2,1,2,21
3,1,3,2,2,10
3,1,4,5,4,18
3,1,5,3,5,38
3,2,1,1,1,12
3,2,2,1,4,14
3,2,3,13,8,27
3,2,4,67,25,116
3,2,5,602,47,654
3,3,1,1,3,15
3,3,2,12,6,25
3,3,3,262,26,292
3,3,4,605,48,672
